Country Name,Country Code,Indicator Name,Indicator Code,Year,Value
Nigeria,NGA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1972,0.9428268248926636
Nigeria,NGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1972,3.3642620350363046
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,1972,209.45477629434453
Nigeria,NGA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1972,41.273
Nigeria,NGA,Population growth (annual %),SP.POP.GROW,1972,2.39539467623687
Nigeria,NGA,"Population, total",SP.POP.TOTL,1972,58601748.0
Nigeria,NGA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1973,1.105857765816227
Nigeria,NGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1973,5.392760483959094
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,1973,252.36903245286777
Nigeria,NGA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1973,41.831
Nigeria,NGA,Population growth (annual %),SP.POP.GROW,1973,2.49480838624679
Nigeria,NGA,"Population, total",SP.POP.TOTL,1973,60082139.0
Nigeria,NGA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1974,1.3619190305235105
Nigeria,NGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1974,11.160674545486188
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,1974,402.8369997826852
Nigeria,NGA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1974,42.489
Nigeria,NGA,Population growth (annual %),SP.POP.GROW,1974,2.62332417262733
Nigeria,NGA,"Population, total",SP.POP.TOTL,1974,61679144.0
Nigeria,NGA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1975,1.0094792189628852
Nigeria,NGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1975,-5.227747555320789
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,1975,438.0788139167954
Nigeria,NGA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1975,43.054
Nigeria,NGA,Population growth (annual %),SP.POP.GROW,1975,2.768857941331
Nigeria,NGA,"Population, total",SP.POP.TOTL,1975,63410815.0
Nigeria,NGA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1976,1.1523888201982997
Nigeria,NGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1976,9.042351726302073
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,1976,556.3896877198777
Nigeria,NGA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1976,44.186
Nigeria,NGA,Population growth (annual %),SP.POP.GROW,1976,2.87143514738127
Nigeria,NGA,"Population, total",SP.POP.TOTL,1976,65258009.0
Nigeria,NGA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1977,0.9885893555683168
Nigeria,NGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1977,6.024117849541682
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,1977,535.9653078173286
Nigeria,NGA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1977,44.847
Nigeria,NGA,Population growth (annual %),SP.POP.GROW,1977,2.98390652773332
Nigeria,NGA,"Population, total",SP.POP.TOTL,1977,67234590.0
Nigeria,NGA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1978,1.0030416637601316
Nigeria,NGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1978,-5.764158393902818
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,1978,526.8958529284758
